datum;factuur;product;omschrijving;aantal;prijs;eenheid
2025-08-02;1280;Eolis 3D windsensor IO (20050);- Windbeveiliging in de voorlijst<p>- De windsensor is een hulp stuk hier kunnen geen garantie rechten aan verleend word;1;123.14;stuks
2025-08-02;1280;Aanbetaling (4);Aanbetaling - factuur 666 van 13-05-2025.;-1;1018.84;prijs
2025-08-02;1281;Aluminium Jaloezie  (20091);Breedte: 705 mm<p>Hoogte: 1200 mm</p><p>Lamel breedte: 25 mm</p><p>Lamel kleur: 9770 Prijsgroep 3</p><p>Montage: Tru fit;1;240.5;stuks
2025-08-02;1281;Aluminium Jaloezie  (20091);Breedte: 805 mm<p>Hoogte: 1300 mm</p><p>Lamel breedte: 25 mm</p><p>Lamel kleur: 9770 Prijsgroep 3</p><p>Montage: Tru fit;1;264.46;stuks
2025-08-02;1281;Aluminium Jaloezie  (20091);Breedte: 400 mm<p>Hoogte: 1295 mm</p><p>Lamel breedte: 25 mm</p><p>Lamel kleur: 9770 Prijsgroep 3</p><p>Montage: Tru fit;1;232.23;stuks
2025-08-02;1281;Aluminium Jaloezie  (20091);Breedte: 498 mm<p>Hoogte: 828 mm</p><p>Lamel breedte: 25 mm</p><p>Lamel kleur: 9770 Prijsgroep 3</p><p>Montage: Tru fit,;1;184.3;stuks
2025-08-02;1281;Aluminium Jaloezie  (20091);Breedte: 550 mm<p>Hoogte: 2139 mm</p><p>Lamel breedte: 25 mm</p><p>Lamel kleur: 9770 Prijsgroep 3</p><p>Montage: Tru fit;2;340.5;stuks
2025-08-02;1281;Aluminium Jaloezie  (20091);Breedte: 703 mm<p>Hoogte: 1360 mm</p><p>Lamel breedte: 25 mm</p><p>Lamel kleur: 9770 Prijsgroep 3</p><p>Montage: Tru fit;1;257.85;stuks
2025-08-02;1281;Aluminium Jaloezie  (20091);Breedte: 605 mm<p>Hoogte: 1260 mm</p><p>Lamel breedte: 25 mm</p><p>Lamel kleur: 9770 Prijsgroep 3</p><p>Montage: Tru fit;1;242.98;stuks
2025-08-02;1281;Montage vs4 product (20266);- Ontvetten van het glas.<p>- Plakken van de strips.</p><p>- Montage product.</p>;8;45.45;stuks
2025-08-02;1281;Korting (20090);- 15% korting.;1;-371.07;prijs
